"","UniprotKB","Symbol","refID"
"1","Q9RW45","No symbol","DR_0824"
"2","Q9RTB6","msrA","DR_1849"
"3","Q9RRF5","msrQ","DR_2537"
"4","Q9RRF6","msrP","DR_2536"
"5","Q9RVA6","murA","DR_1123"
"6","Q9RWM1","mobA","DR_0645"
"7","Q9RRC1","moaC","DR_2571"
"8","Q9RTA0","mraZ","DR_1865"
"9","Q9RUK6","msrB","DR_1378"
"10","Q9RWN8","murB","DR_0628"
"11","Q9RWN9","murC","DR_0627"
"12","Q9RXL3","murE","DR_0297"
"13","Q9RWP0","murG","DR_0626"
"14","Q9RU10","murI","DR_1586"
"15","Q9RTR0","mutL","DR_1696"
"16","Q9RYU5","murQ","DR_A0213"
"17","Q9RRJ4","murD","DR_2496"
"18","Q9RYV5","nadE","DR_A0201"
"19","Q9RRJ1","ndk","DR_2499"
"20","Q9RYD4","cobB","DR_0016"
"21","Q9RY63","nrdR","DR_0087"
"22","Q9RZL8","nrdI","DR_B0107"
"23","Q9RU89","nuoD","DR_1503"
"24","Q9RUA0","nuoN","DR_1492"
"25","Q9RSQ7","nusB","DR_2067"
"26","Q9RU95","nuoI","DR_1497"
"27","Q9RY66","obg","DR_0084"
"28","Q9RXX6","No symbol","DR_0179"
"29","Q9RU88","nuoC","DR_1504"
"30","Q9RR97","nos","DR_2597"
"31","Q9RU94","nuoH","DR_1498"
"32","Q9RV62","nudC","DR_1168"
"33","Q9RYU4","No symbol","DR_A0214"
"34","Q9RY44","norM","DR_0107"
"35","Q9RU87","nuoB","DR_1505"
"36","Q9RU97","nuoK","DR_1495"
"37","Q9RSS6","nusG","DR_2047"
"38","Q9RZE7","parB2","DR_A0002"
"39","Q9RYD8","parB1","DR_0012"
"40","Q9RV66","panC","DR_1164"
"41","Q9RWF1","panD","DR_0718"
"42","Q9RY70","argF","DR_0080"
"43","Q9RUL7","pdxS","DR_1367"
"44","Q9RX25","pcp","DR_0490"
"45","Q9RVP6","pckA","DR_0977"
"46","Q9RR81","panB","DR_2615"
"47","Q9RZV8","No symbol","DR_B0002"
"48","Q9RSR1","pnp","DR_2063"
"49","O83026","ppsA","DR_1727"
"50","Q9RRB7","ppaC","DR_2576"
"51","O32504","pprA","DR_A0346"
"52","Q9RSV1","plsY1","DR_2021"
"53","Q9RS57","plsY2","DR_2270"
"54","Q9RW55","DR_0814","A2G07_09440"
"55","Q9RU72","prmA","DR_1521"
"56","Q9RTD8","proB","DR_1827"
"57","Q9RXR2","prmC","DR_0245"
"58","Q9RVC0","pyrB","DR_1109"
"59","Q9RX68","pyrE","DR_0447"
"60","Q9RVB9","pyrR","DR_1110"
"61","Q9RVC4","radA","DR_1105"
"62","Q9ZNA2","recR","DR_0198"
"63","Q9RU23","pyrG","DR_1573"
"64","Q9RS16","psuG","DR_2311"
"65","Q9RUB7","No symbol","DR_1473"
"66","Q9RXT4","purL","DR_0222"
"67","Q9RW01","purH","DR_0868"
"68","Q9RTD9","proA","DR_1826"
"69","Q9RYZ3","pstB","DR_A0160"
"70","Q9RY77","pta","DR_0073"
"71","Q9RTN2","No symbol","DR_1728"
"72","Q9RSE6","purB","DR_2178"
"73","Q9RU81","pyrH","DR_1511"
"74","Q9RRW3","pth","DR_2372"
